link,Price,Year,Mileage,Fuel,Transmission,EngineCapacity,Power,Color,Doors,Location
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-st-1-hand-balesetmentes-szervizkonyv--hirdetesid-pzt4d4,11 260 890 Ft,2020,62 700 km,benzin,manuális/kézi,2 261 cm³,206 kW (280 LE),fekete,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-titanium-1-5-ecoblue-pdc-ahk-matrix-led-bo-hirdetesid-f9ee5e,11 269 327 Ft,2024,38 440 km,dízel,automata,1 499 cm³,85 kW (116 LE),fekete,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-1-5-ecoblue-auto-active-x-ahk-hud-hirdetesid-2pp3db,11 282 508 Ft,2024,21 300 km,dízel,automata,1 499 cm³,85 kW (116 LE),fehér,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-1-5-aut-st-line-led-plusz-shz-plusz-pdc-plusz-navi-hirdetesid-r66urp,11 286 899 Ft,2024,11 532 km,dízel,automata,1 499 cm³,85 kW (116 LE),szürke,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-lim-cool-connect-pdc-led-spa-dab-hirdetesid-u7r9ew,11 291 297 Ft,2023,35 500 km,dízel,manuális/kézi,1 499 cm³,88 kW (120 LE),fehér,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-titanium-x-matrix-ahk-kamera-hirdetesid-ym77db,,2023,19 999 km,dízel,automata,1 499 cm³,85 kW (116 LE),ezüst,5 ajtó,Na
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-line-turnier-diesel-aut-aktion-hp-sale-shz-le-hirdetesid-8mk2ux,11 313 260 Ft,2023,18 186 km,dízel,automata,1 499 cm³,85 kW (116 LE),ezüst,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-1-5-ecoblue-start-stopp-system-aut-hirdetesid-uh7kk8,11 313 260 Ft,2023,39 074 km,dízel,automata,1 499 cm³,85 kW (116 LE),fekete,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-1-0-ecoboost-mhev-titanium-x-azonnali-keszlet-petranyi-budaors-hirdetesid-mx5e9v,,2025,7 km,benzin,manuális/kézi,999 cm³,92 kW (125 LE),kék,5 ajtó,"Budapest, Budaörsi út 179."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-2-3eb-limo-aut-st-plusz-led-plusz-navi-plusz-virtual-plusz-hud-hirdetesid-x9nd7b,11 382 716 Ft,2021,20 162 km,benzin,automata,2 261 cm³,206 kW (280 LE),fehér,5 ajtó,"Budapest, Üllői út 309."
